id,title,description,link,image_link,price,availability,condition,brand,google_product_category,product_type
base-153497379,棚板 カウンター材 無垢 一枚板｜イチョウ 銀杏 800mm×267~278mm×32mm,イチョウ 銀杏の一枚板 800mm×267~278mm×32mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153497379?utm_source=pinterest&utm_medium=catalog&utm_campaign=shelf,https://base-ec2.akamaized.net/images/item/origin/9a3f4b7adbd9f7e901865d5386a71efe.jpg,5230 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,棚板・カウンター材
base-153497434,一枚板 テーブル天板 無垢材｜サクラ ヤマザクラ 山桜 チェリー 1002mm×228mm×46mm,サクラ ヤマザクラ 山桜 チェリーの一枚板 1002mm×228mm×46mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153497434?utm_source=pinterest&utm_medium=catalog&utm_campaign=table,https://base-ec2.akamaized.net/images/item/origin/0071bce201850b616c713df9227ff13e.jpg,6900 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,一枚板テーブル天板
base-153497507,棚板 カウンター材 無垢 一枚板｜サペリ 975mm×~275mm×31mm,サペリの一枚板 975mm×~275mm×31mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153497507?utm_source=pinterest&utm_medium=catalog&utm_campaign=shelf,https://base-ec2.akamaized.net/images/item/origin/aa06f3b2bfc582c578d8e0be24ff2c9e.jpg,6420 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,棚板・カウンター材
base-153497561,棚板 カウンター材 無垢 一枚板｜ダークレッドメランチ ラワン類 外材 1100mm×240~245mm×22mm,ダークレッドメランチ ラワン類 外材の一枚板 1100mm×240~245mm×22mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153497561?utm_source=pinterest&utm_medium=catalog&utm_campaign=shelf,https://base-ec2.akamaized.net/images/item/origin/701d98c73633417299261c4a937fbe73.jpg,6780 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,棚板・カウンター材
base-153497605,棚板 カウンター材 無垢 一枚板｜シナ シナノキ バスウッド 900mm×176~234mm×22mm,シナ シナノキ バスウッドの一枚板 900mm×176~234mm×22mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153497605?utm_source=pinterest&utm_medium=catalog&utm_campaign=shelf,https://base-ec2.akamaized.net/images/item/origin/fca6ddc03531b0549413b12276e77666.jpg,3400 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,棚板・カウンター材
base-153497660,一枚板 テーブル天板 無垢材｜マカバ カバ バーチ 1500mm×270~420mm×33mm,マカバ カバ バーチの一枚板 1500mm×270~420mm×33mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153497660?utm_source=pinterest&utm_medium=catalog&utm_campaign=table,https://base-ec2.akamaized.net/images/item/origin/7a01f9c10a6b77c2edb3ec20ff49fd19.jpg,14300 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,一枚板テーブル天板
base-153497706,棚板 カウンター材 無垢 一枚板｜サクラ ヤマザクラ 山桜 チェリー 1300mm×290mm×37mm,サクラ ヤマザクラ 山桜 チェリーの一枚板 1300mm×290mm×37mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153497706?utm_source=pinterest&utm_medium=catalog&utm_campaign=shelf,https://base-ec2.akamaized.net/images/item/origin/3248ba01dbdd27437000cccbcbc5e37f.jpg,9900 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,棚板・カウンター材
base-153497759,DIY 木材 無垢 クラフト材｜イタヤカエデ 板谷楓 メープル 780mm×350~550mm×35mm,イタヤカエデ 板谷楓 メープルの一枚板 780mm×350~550mm×35mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153497759?utm_source=pinterest&utm_medium=catalog&utm_campaign=diy,https://base-ec2.akamaized.net/images/item/origin/2f02d2cf0bc26ee89745b7fae12ae496.jpg,17600 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,DIY・クラフト材
base-153497815,一枚板 テーブル天板 無垢材｜ケヤキ 欅 1100mm×390~580mm×34mm,ケヤキ 欅の一枚板 1100mm×390~580mm×34mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153497815?utm_source=pinterest&utm_medium=catalog&utm_campaign=table,https://base-ec2.akamaized.net/images/item/origin/c6195da78b1cec50feac16d69b28d4b6.jpg,15000 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,一枚板テーブル天板
base-153497876,棚板 カウンター材 無垢 一枚板｜クルミ オニグルミ 鬼胡桃 ウォールナット 1565mm×0~220mm×32mm,クルミ オニグルミ 鬼胡桃 ウォールナットの一枚板 1565mm×0~220mm×32mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153497876?utm_source=pinterest&utm_medium=catalog&utm_campaign=shelf,https://base-ec2.akamaized.net/images/item/origin/36041bb01e63f112ae59df5f8b4f248d.jpg,8200 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,棚板・カウンター材
